ator_id	titulo_id	nome_personagem
nm1684869	tt2287394	Walker
nm1869101	tt23149780	Baroness
nm1102577	tt2315596	Rocky
nm1684869	tt2316821	Batman
nm1684869	tt2316821	Two-Face
nm1684869	tt2316821	Sinestro
nm0799777	tt2318440	President of Capitol State
nm1684869	tt2331562	Sunburn
nm1684869	tt2331562	Brock
nm1684869	tt2338235	Goth
nm1684869	tt2338235	Murphy Pendleton
nm1684869	tt2343645	Peter Delacoeur - Agent P
nm1684869	tt2343645	Sanchez
nm2215143	tt23468450	Carrie Anne Camera
nm0799777	tt2355495	Dr. Bertleman
nm0799777	tt2357129	Arthur Rock
nm1102577	tt2361317	Loretta Figgis
nm1684869	tt2370518	Ocelot
nm1684869	tt23750916	Shinnok
nm1684869	tt2378950	Rainer
nm5301405	tt2382009	P
nm1869101	tt2382320	Paloma
nm0799777	tt2387433	Edwin Pollard
nm1684869	tt2397511	Hawkeye
nm1684869	tt2397511	Loki
nm1684869	tt2397511	Super-Skrull
nm1684869	tt2404700	Ghaleon
nm1102577	tt24179294	Tomorrow
nm0005342	tt24179294	Sam Porter Bridges
nm1684869	tt24179294	Higgs Monaghan
nm1684869	tt24218228	Tom
nm1684869	tt2428378	Additional Voices
nm4911194	tt24515124	Remi
nm0799777	tt2455514	J. Jonah Jameson
nm0799777	tt2455514	J. Jonah Jamesasaurus
nm0799777	tt2455514	Vampire Jameson
nm1684869	tt2455546	Hawkeye
nm1684869	tt2455546	Loki
nm1684869	tt2455546	Old Man
nm2794962	tt2463512	Sabitha
nm1684869	tt2465238	Bruce Wayne
nm1684869	tt2465238	Batman
nm1684869	tt2465238	Two-Face
nm0799777	tt2481554	Sheriff Frank Hoyle
nm2794962	tt2488778	Louise
nm1684869	tt2553232	Wild Card
nm1684869	tt2553232	Coach Wildwood
nm1684869	tt2553232	Warren
nm5301405	tt2580382	Milja
nm0000206	tt25808274	Johnny Silverhand
nm0799777	tt2582802	Fletcher
nm0005342	tt2654124	Frank Castle
nm0005342	tt2654124	The Punisher
nm1684869	tt2654124	Clint Barton
nm1684869	tt2654124	Hawkeye
nm1684869	tt2654124	J.A.R.V.I.S.
nm3480246	tt2674454	Helen Garrett
nm1684869	tt26771295	Apollo
nm4911194	tt26927452	Anima
nm3154303	tt2693580	Billy
nm1102577	tt2693664	Mary Holm
nm0799777	tt2698984	Mel Fisher
nm0604742	tt2720680	Henry Delarue
nm1684869	tt2722728	Delsin Rowe
nm1684869	tt27397556	Male Player
nm0799777	tt27403986	Harold
nm0000206	tt27543578	Desconhecido
nm1684869	tt27687527	Jonah Hex
nm1684869	tt2791440	Red Skull
nm1684869	tt2791440	Loki
nm1684869	tt2791440	Venom
nm3528821	tt28118211	Pip Fitz-Amobi
nm0799777	tt2822672	Khampa
nm1684869	tt2842418	The Joker
nm4911194	tt28443655	Ridley
nm3081796	tt28452191	Mark Grayson
nm0799777	tt28452191	Nolan Grayson
nm0799777	tt28452191	Omni-Man
nm2794962	tt2848292	Emily
nm5700898	tt28607951	Ani
nm1684869	tt28786861	Batman
nm1684869	tt28786861	Mirror Master
nm3081796	tt2884206	Kenny
nm0000206	tt2911666	John Wick
nm0799777	tt2948356	Mayor Lionheart
nm1684869	tt2960890	Snow Villiers
nm1684869	tt2961326	Simon Blackquill
nm1684869	tt2971572	The President of The United States of America - Male 1
nm1684869	tt2973462	The Joker
nm2794962	tt2978102	Cate Barrow
nm1684869	tt30150907	The Joker
nm1684869	tt30150917	The Joker
nm1684869	tt30150917	Spider Guild Lantern
nm1684869	tt3025994	The Phantom
nm1684869	tt3025994	Lance Damon
nm1684869	tt30272445	Jonesy
nm1869101	tt3028412	Sol
nm2581521	tt31176520	Desconhecido
nm2794962	tt31193180	Mary
nm2215143	tt31193791	Jodie
nm1102577	tt31227572	Desconhecido
nm1684869	tt3139086	Joker
nm0604742	tt3147312	Sam
nm0604742	tt3155320	JD Richter
nm3154303	tt3179568	Danny Vance
nm1684869	tt31869664	Baki Hanma
nm1684869	tt31937680	Loki
nm0799777	tt3246908	Dr. Moore
nm1684869	tt32627540	Adrian Veidt
nm1684869	tt32627540	Ozymandias
nm1684869	tt32627540	Minister
nm1684869	tt32627545	Adrian Veidt
nm1684869	tt32627545	Ozymandias
nm3081796	tt32642706	Desconhecido
nm1684869	tt3265786	Rattle Shake
nm0604742	tt3276924	Luke Vaughn
nm3154303	tt3281548	Laurie
nm2215143	tt3286052	Kat
nm0005342	tt3291104	Desconhecido
nm3154303	tt32916440	Marty
nm3154303	tt32916440	Desconhecido
nm3480246	tt3292080	Amy Eldon
nm1684869	tt33039855	Kristof
nm1684869	tt3312964	Siris
nm0000206	tt33204697	Pilot
nm1684869	tt3330488	Talion
nm1684869	tt3334704	Samuel Drake
nm2794962	tt3397754	Eliza
nm3154303	tt3416536	Daniel
nm1684869	tt3468818	Joel
nm1684869	tt3485722	Additional Voices
nm2581521	tt3496372	Noah Henry
nm0000206	tt34984490	Shadow
nm1659221	tt3498820	Bucky Barnes
nm1659221	tt3498820	Winter Soldier
nm1684869	tt34996171	Desconhecido
nm0000206	tt3503406	Ramsey
nm1684869	tt3518070	Jetfire
nm1684869	tt3518070	Slingshot
nm1684869	tt3518070	Hook
nm1684869	tt3554580	Arkham Knight
nm1684869	tt3554580	Jason Todd
nm1684869	tt3554580	Red Hood
nm3154303	tt35616060	Self
nm3528821	tt3566834	Natalie
nm1684869	tt3587730	Jazz
nm1684869	tt3587730	Jetfire
nm1684869	tt3587730	Kickback
nm1684869	tt3590472	Dragon
nm1684869	tt3590472	Gryphon
nm1684869	tt3596004	Alex Taylor
nm0000206	tt3605418	Evan Webber
nm1869101	tt3605418	Bel
nm1659221	tt3623726	Josh
nm1659221	tt3659388	Chris Beck
nm1684869	tt3682184	Sergey Plotnikov
nm2581521	tt3704428	Elvis
nm1684869	tt3712498	Deadeye Brightland
nm1684869	tt3712498	Kevo
nm1684869	tt3712498	Exile Male
nm1684869	tt3742988	Pagan Min
nm1684869	tt3757728	Batman
nm1684869	tt3757728	Bruce Wayne
nm1684869	tt3757728	The Atom
nm5700898	tt3766340	Liza
nm1684869	tt3772796	Shinnok
nm1684869	tt3772796	Erron Black
nm1684869	tt3772796	Fujin
nm1684869	tt3782832	Rhys
nm1684869	tt3782832	Tommy
nm1684869	tt3782832	Additional Voices
nm0799777	tt3783958	Bill
nm1684869	tt3803962	Delsin
nm0000206	tt3810192	Johnny Silverhand
nm0799777	tt3830016	Tenzin
nm2215143	tt3830016	Jinora
nm2581521	tt3838992	Hunter Calloway
nm1684869	tt3849578	Brock
nm1684869	tt3849578	Rattle Shake
nm1684869	tt3849578	Sunburn
nm1659221	tt3859304	Lance Tucker
nm1102577	tt3859310	Zan
nm1684869	tt3898332	Booker DeWitt
nm1684869	tt3898332	Rapture Newscaster
nm1102577	tt3906082	Mary Shelley
nm1102577	tt3907584	Violet
